##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 3 and data 2_ Read 2 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	283155
Sequences flagged as poor quality	0
Sequence length	20-50
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.40907983260052	33.0	31.0	34.0	31.0	34.0
2	32.69911532552842	34.0	31.0	34.0	31.0	34.0
3	32.85570094118062	34.0	33.0	34.0	31.0	34.0
4	36.087245501580405	37.0	37.0	37.0	35.0	37.0
5	36.055570270699796	37.0	37.0	37.0	35.0	37.0
6	36.17795200508555	37.0	37.0	37.0	35.0	37.0
7	36.201147781250555	37.0	37.0	37.0	35.0	37.0
8	36.22352068654977	37.0	37.0	37.0	35.0	37.0
9	37.92988645794706	39.0	39.0	39.0	35.0	39.0
10	37.978675990182055	39.0	39.0	39.0	35.0	39.0
11	38.050601260793556	39.0	39.0	39.0	37.0	39.0
12	37.984810439511925	39.0	39.0	39.0	35.0	39.0
13	38.00673482721478	39.0	39.0	39.0	37.0	39.0
14	39.4634069679151	41.0	39.0	41.0	37.0	41.0
15	39.47350391128534	41.0	39.0	41.0	37.0	41.0
16	39.44767000406138	41.0	39.0	41.0	37.0	41.0
17	39.38896717345624	41.0	39.0	41.0	37.0	41.0
18	39.342310748529954	41.0	39.0	41.0	36.0	41.0
19	39.33335099150642	41.0	39.0	41.0	36.0	41.0
20	39.27419258003567	41.0	39.0	41.0	36.0	41.0
21	39.21169837714867	41.0	39.0	41.0	36.0	41.0
22	39.14214383648777	40.0	39.0	41.0	36.0	41.0
23	39.04727112053729	40.0	39.0	41.0	36.0	41.0
24	39.01555538267868	40.0	39.0	41.0	36.0	41.0
25	38.94524056301757	40.0	39.0	41.0	35.0	41.0
26	38.848189794610974	40.0	38.0	41.0	35.0	41.0
27	38.765342653178415	40.0	38.0	41.0	35.0	41.0
28	38.703391093853156	40.0	38.0	41.0	35.0	41.0
29	38.619069116037025	40.0	38.0	41.0	35.0	41.0
30	38.75462938238111	40.0	38.0	41.0	35.0	41.0
31	38.76055203197251	40.0	38.0	41.0	35.0	41.0
32	38.70684293767561	40.0	38.0	41.0	35.0	41.0
33	38.843947438991684	40.0	38.0	41.0	35.0	41.0
34	38.871207237407596	40.0	38.0	41.0	35.0	41.0
35	38.896581190443705	40.0	38.0	41.0	35.0	41.0
36	38.89800839027766	40.0	38.0	41.0	35.0	41.0
37	38.90474464197674	40.0	38.0	41.0	35.0	41.0
38	38.86170511739608	40.0	38.0	41.0	35.0	41.0
39	38.81818783579537	40.0	38.0	41.0	35.0	41.0
40	38.78926195437779	40.0	38.0	41.0	35.0	41.0
41	38.75660034670387	40.0	38.0	41.0	35.0	41.0
42	38.70589604374053	40.0	38.0	41.0	35.0	41.0
43	38.66933491336912	40.0	38.0	41.0	35.0	41.0
44	38.6133850165732	40.0	38.0	41.0	34.0	41.0
45	38.56917822125088	40.0	38.0	41.0	34.0	41.0
46	38.526440850568584	40.0	38.0	41.0	34.0	41.0
47	38.47754625249875	40.0	38.0	41.0	34.0	41.0
48	38.45714370624472	40.0	38.0	41.0	34.0	41.0
49	38.48554792475366	40.0	38.0	41.0	34.0	41.0
50	38.168446307120426	40.0	37.0	41.0	33.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1947889766040447
1101	2	0.11535354454345281
1101	3	0.10513232496919755
1101	4	-0.0025540758178266287
1101	5	-0.013600020706427074
1101	6	0.15712375074713947
1101	7	-0.02404324297838656
1101	8	0.1547271808447448
1101	9	0.14604220234377152
1101	10	0.40720354082788646
1101	11	0.19481534981569126
1101	12	0.22116285687397408
1101	13	0.28343533209945804
1101	14	0.4395326043937331
1101	15	0.04089001007645976
1101	16	0.20902580701414308
1101	17	0.15397096510327657
1101	18	0.1183687497584458
1101	19	0.1355779222514215
1101	20	0.3415763406865864
1101	21	-0.0510866051405543
1101	22	-0.13499833323739807
1101	23	-0.1443782939902647
1101	24	0.1289327309999848
1101	25	0.2779635932777609
1101	26	0.08252383965183441
1101	27	0.08925876642692288
1101	28	0.34418526402051697
1101	29	0.04341711958823424
1101	30	-0.1257524967823045
1101	31	-0.1980225990899953
1101	32	-0.2644201995166995
1101	33	0.07412373491698077
1101	34	0.19634757730318597
1101	35	0.12096946789698393
1101	36	-0.1121658118954727
1101	37	0.12179460804598108
1101	38	0.3727065958005866
1101	39	0.38647210551960853
1101	40	0.349294825872569
1101	41	0.20857327162283923
1101	42	0.08416485092686798
1101	43	0.35783672992792503
1101	44	0.12491413024488907
1101	45	0.41932160803872165
1101	46	0.39996242005285154
1101	47	0.08535783125824281
1101	48	0.42167127019163075
1101	49	0.19450911417623473
1101	50	0.4346737911362055
1102	1	-0.42914264732758056
1102	2	-0.42455633637061396
1102	3	-0.13709848002311276
1102	4	-0.04199905668539827
1102	5	-0.38296310764273755
1102	6	-0.502748222932361
1102	7	-0.2416343455067249
1102	8	-0.13392210571249308
1102	9	-0.16937459842868208
1102	10	0.004957715987920608
1102	11	-0.1413610261096352
1102	12	-0.25237360201813175
1102	13	-0.4972391305833739
1102	14	-0.1533580010491704
1102	15	-0.14183358896512743
1102	16	-0.10635523221626642
1102	17	-0.2346675929913502
1102	18	-0.2227248381970668
1102	19	-0.008684138328625579
1102	20	0.006168837915069503
1102	21	-0.30125647246523357
1102	22	-0.056394463838550735
1102	23	-0.4247417214125164
1102	24	-0.05026715408225613
1102	25	-0.3607277807077267
1102	26	-0.21529272287061474
1102	27	-0.08085543309903898
1102	28	-0.5682212479948419
1102	29	-0.0669524155830743
1102	30	-0.41837997914209524
1102	31	-0.14166484830801096
1102	32	-0.4386143370383877
1102	33	-0.14671265539850253
1102	34	-0.12390663656805145
1102	35	-0.5269443204423325
1102	36	-0.12623968128849583
1102	37	0.048220193954321644
1102	38	-0.10165019733349823
1102	39	-0.05846181518523963
1102	40	0.016093182383315252
1102	41	-0.14994945564988882
1102	42	-0.03849528812772007
1102	43	-0.008230923349032082
1102	44	0.10120824538166318
1102	45	-0.0446846517421875
1102	46	0.07118978423796563
1102	47	-0.4357950227354692
1102	48	-0.2438645306399323
1102	49	0.05386800924941326
1102	50	-0.03471396396583515
1103	1	0.23752401933908374
1103	2	0.2053885095784196
1103	3	0.30453014936702516
1103	4	0.11273341446966612
1103	5	0.021753514647109284
1103	6	-0.02566568204229469
1103	7	0.11222326828812612
1103	8	0.10956401068157362
1103	9	-0.014214207912644383
1103	10	0.2184894771138275
1103	11	0.24755427755462023
1103	12	0.11112012183124165
1103	13	0.18310510676923286
1103	14	0.5107253005864294
1103	15	0.4915504607369101
1103	16	0.11335758634591997
1103	17	-0.02522483909253026
1103	18	0.3072770636667599
1103	19	0.25727566894916976
1103	20	0.5462189203291672
1103	21	0.5710967670428175
1103	22	0.4207514725124071
1103	23	0.26490686529489693
1103	24	0.2960850231522727
1103	25	0.43870562901980037
1103	26	0.3321353392633313
1103	27	0.2932214703896321
1103	28	0.5000085180197402
1103	29	0.36858944368759694
1103	30	0.5095219212174342
1103	31	0.34530228060827284
1103	32	0.5897383386547119
1103	33	0.5366367965679757
1103	34	0.6637319040031002
1103	35	0.3868328820493758
1103	36	0.45030733836393466
1103	37	0.20428151154455776
1103	38	0.47426076834124586
1103	39	0.45636232298691226
1103	40	0.355129892684964
1103	41	0.2545590439805636
1103	42	0.13749670794582158
1103	43	0.1327707171025736
1103	44	0.3310871838256091
1103	45	0.5998175546290838
1103	46	0.5324679797266896
1103	47	0.22258143678294573
1103	48	0.602508190217776
1103	49	0.364215225058814
1103	50	0.5002582067206234
1104	1	-0.2821892423096628
1104	2	-0.3410842828621128
1104	3	-0.31436036871703976
1104	4	-0.20271950178970144
1104	5	-0.06557134687130173
1104	6	0.20950864184170825
1104	7	0.11918807767229112
1104	8	-0.13518183487072122
1104	9	-0.4004149247585218
1104	10	-0.21369527361931517
1104	11	-0.33606416493478974
1104	12	-0.09631715415441988
1104	13	-0.08656742500007653
1104	14	-0.3321795544151982
1104	15	-0.27466003128003535
1104	16	-0.3084817750095681
1104	17	0.01790810323395675
1104	18	0.008360478459849219
1104	19	-0.2454532329732828
1104	20	-0.032837775663011826
1104	21	0.04618942019302352
1104	22	0.06327381827215817
1104	23	-0.1301538501629338
1104	24	-0.19591530503939225
1104	25	0.04748749096050631
1104	26	-0.17637029469356236
1104	27	0.11999097044432716
1104	28	-0.17438432740198806
1104	29	0.027680352778503448
1104	30	-0.4356361815493628
1104	31	-0.2391838853996333
1104	32	-0.14527483657585094
1104	33	-0.3261761151579776
1104	34	-0.3396019803855026
1104	35	-0.3585110515835339
1104	36	0.08305318479411028
1104	37	-0.2205321918454004
1104	38	-0.11252903349114263
1104	39	-0.2757509203203554
1104	40	-0.31152185239464103
1104	41	-0.20380880384885813
1104	42	-0.11804763882204128
1104	43	-0.2687144966233035
1104	44	0.02352600239100866
1104	45	-0.29752427009748317
1104	46	-0.1002387871906052
1104	47	-0.11500548570585778
1104	48	0.1566013317548638
1104	49	-0.16458400037539178
1104	50	-0.16804428724558562
1105	1	0.09798913561815681
1105	2	-0.1070674453193945
1105	3	0.08774015641424171
1105	4	0.0011231255337946777
1105	5	0.05875140048220118
1105	6	0.06330542437067521
1105	7	0.2285904282599418
1105	8	0.22628353147086244
1105	9	-0.12467932419171035
1105	10	-0.016270917530292195
1105	11	-7.7200856236459E-4
1105	12	0.0791433776451953
1105	13	0.02533555074386129
1105	14	-0.19056081639735822
1105	15	0.022205851857414416
1105	16	0.07257182172294563
1105	17	0.026660291280968806
1105	18	0.10246733850819822
1105	19	-0.15472221688592214
1105	20	-0.07772399721839918
1105	21	0.02335187627466695
1105	22	0.36877825193452907
1105	23	0.1836876968664214
1105	24	-0.04121236937767492
1105	25	-0.37339796506054057
1105	26	0.143446121504347
1105	27	-0.11586943870128152
1105	28	-0.2546602628118322
1105	29	-0.030459182105218474
1105	30	-0.025626070325905914
1105	31	0.46025999731017464
1105	32	0.3607918974989701
1105	33	0.3721723850105363
1105	34	0.4076771038078135
1105	35	0.20000327455725397
1105	36	0.21333811126469726
1105	37	0.4952182858174794
1105	38	0.43249698881368914
1105	39	0.4080739313250277
1105	40	-0.047568257802517167
1105	41	0.10385388386773542
1105	42	0.14950228560796575
1105	43	0.14555433147531005
1105	44	0.279696942561948
1105	45	0.29509652458617097
1105	46	0.20443994019554168
1105	47	0.12588146824927549
1105	48	0.05876583391935952
1105	49	0.013701033368157312
1105	50	0.05901241547483238
1106	1	-5.712187561499604E-4
1106	2	-0.025672096482189488
1106	3	0.12283684267371342
1106	4	0.1097780365142853
1106	5	-0.03252553963194771
1106	6	-0.041899448276055296
1106	7	-0.03808475701989522
1106	8	0.1199286460462119
1106	9	0.2998883561899248
1106	10	0.14835128197562852
1106	11	0.14170179670214367
1106	12	0.05571719142831455
1106	13	-0.15002010135597743
1106	14	0.019508184369314563
1106	15	0.07080453999098779
1106	16	0.3543249523132843
1106	17	0.25470356583587517
1106	18	0.29175092314061857
1106	19	0.22593201260551155
1106	20	0.28418928329953275
1106	21	0.30727725322330457
1106	22	0.10798090974184049
1106	23	0.37088422127224874
1106	24	0.25225385432110414
1106	25	0.2859001012142741
1106	26	0.18569844282643544
