##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Cutadapt on data 3 and data 2_ Read 1 Output.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	283155
Sequences flagged as poor quality	0
Sequence length	20-50
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.56904875421589	33.0	31.0	34.0	31.0	34.0
2	32.92889406861966	34.0	33.0	34.0	31.0	34.0
3	33.08766929773446	34.0	33.0	34.0	31.0	34.0
4	36.447214423195774	37.0	37.0	37.0	35.0	37.0
5	36.29365188677579	37.0	37.0	37.0	35.0	37.0
6	36.37343151277569	37.0	37.0	37.0	35.0	37.0
7	36.38167787960658	37.0	37.0	37.0	35.0	37.0
8	36.38020518797125	37.0	37.0	37.0	35.0	37.0
9	38.15246419805407	39.0	39.0	39.0	37.0	39.0
10	38.133040207660116	39.0	39.0	39.0	37.0	39.0
11	38.141759813529696	39.0	39.0	39.0	37.0	39.0
12	38.14592007910861	39.0	39.0	39.0	37.0	39.0
13	38.224887429146584	39.0	39.0	39.0	37.0	39.0
14	39.72094082746199	41.0	40.0	41.0	38.0	41.0
15	39.76812699758083	41.0	40.0	41.0	38.0	41.0
16	39.75535660680546	41.0	40.0	41.0	38.0	41.0
17	39.71681940986385	41.0	40.0	41.0	37.0	41.0
18	39.67736751955643	41.0	40.0	41.0	37.0	41.0
19	39.681792657731634	41.0	40.0	41.0	37.0	41.0
20	39.62833077289824	41.0	40.0	41.0	37.0	41.0
21	39.56566794641312	41.0	39.0	41.0	37.0	41.0
22	39.50914344451941	41.0	39.0	41.0	37.0	41.0
23	39.47062439282875	41.0	39.0	41.0	37.0	41.0
24	39.415921199530814	41.0	39.0	41.0	37.0	41.0
25	39.35164978834371	41.0	39.0	41.0	36.0	41.0
26	39.262856355192376	40.0	39.0	41.0	36.0	41.0
27	39.180428296898725	40.0	39.0	41.0	36.0	41.0
28	39.104786875952236	40.0	39.0	41.0	36.0	41.0
29	39.10421086239313	40.0	39.0	41.0	36.0	41.0
30	39.12811568668545	40.0	39.0	41.0	36.0	41.0
31	39.14057048972784	40.0	39.0	41.0	36.0	41.0
32	39.128185685552054	40.0	39.0	41.0	36.0	41.0
33	39.20376846000021	40.0	39.0	41.0	36.0	41.0
34	39.21099427478191	41.0	39.0	41.0	36.0	41.0
35	39.18542364151429	41.0	39.0	41.0	35.0	41.0
36	39.142498160213954	41.0	39.0	41.0	35.0	41.0
37	39.1151263780295	40.0	39.0	41.0	35.0	41.0
38	39.0768518148494	40.0	39.0	41.0	35.0	41.0
39	39.05528070316674	40.0	39.0	41.0	35.0	41.0
40	39.05066836127717	40.0	39.0	41.0	35.0	41.0
41	39.01097426003201	40.0	39.0	41.0	35.0	41.0
42	38.97675706218974	40.0	38.0	41.0	35.0	41.0
43	38.929284109791375	40.0	38.0	41.0	35.0	41.0
44	38.89842540865694	40.0	38.0	41.0	35.0	41.0
45	38.84464405575078	40.0	38.0	41.0	35.0	41.0
46	38.795143866168026	40.0	38.0	41.0	35.0	41.0
47	38.75388938665798	40.0	38.0	41.0	35.0	41.0
48	38.7066650426514	40.0	38.0	41.0	35.0	41.0
49	38.705891776132745	40.0	38.0	41.0	35.0	41.0
50	38.281384784705665	40.0	37.0	41.0	34.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.1692189940697446
1101	2	0.014347303538976064
1101	3	0.018719430128975034
1101	4	0.09617591196881392
1101	5	0.10838307721320461
1101	6	0.19289954670666276
1101	7	0.12733414358513073
1101	8	0.14916278817539563
1101	9	0.21965408566115485
1101	10	0.16885225229130185
1101	11	0.15367122405085354
1101	12	0.19474717752510173
1101	13	0.0883552020487599
1101	14	0.1135962229987797
1101	15	0.18975886964473432
1101	16	0.19126219078646756
1101	17	0.29253546516467566
1101	18	0.3150552402362976
1101	19	0.12447204908622211
1101	20	0.12757869172633463
1101	21	0.2897469158407944
1101	22	0.27779108449898615
1101	23	0.23199951661435136
1101	24	0.22437141386105708
1101	25	-0.0381087046146078
1101	26	0.36876955569852754
1101	27	0.3628947532926077
1101	28	0.3273160959597021
1101	29	0.4437842743243152
1101	30	0.6136335645048518
1101	31	0.47065212078639007
1101	32	0.37004879726547557
1101	33	0.4020312537431394
1101	34	0.1741016482656832
1101	35	0.3729790011621432
1101	36	0.26043290452373924
1101	37	0.39138585806883697
1101	38	0.28311976384898685
1101	39	0.47040016710299426
1101	40	0.5979856965126018
1101	41	0.37638597849512223
1101	42	0.22656831735682914
1101	43	0.08485326296734996
1101	44	0.30315167112501484
1101	45	0.4154875491536103
1101	46	0.47440610177970655
1101	47	0.34337230736328905
1101	48	-0.022789973968698973
1101	49	-0.06818951098721016
1101	50	0.15010146766090315
1102	1	-0.1307667013134406
1102	2	-0.09799758077243581
1102	3	0.05769951095005865
1102	4	-0.06607420425619637
1102	5	-0.4312228305935406
1102	6	-0.2330382997332805
1102	7	-0.26833155751990034
1102	8	-0.17163612467372502
1102	9	-0.2735691021226998
1102	10	-0.2308902646060247
1102	11	-0.2960122863021155
1102	12	-0.1178444614263654
1102	13	-0.12737630029361924
1102	14	-0.18444046834335381
1102	15	-0.11950694589722843
1102	16	-0.029779900548511762
1102	17	-0.14733150189894673
1102	18	-0.2085831390506172
1102	19	-0.06459922366705939
1102	20	0.052640380386350216
1102	21	0.11269152121217729
1102	22	-0.06956077331312116
1102	23	-0.1876675511034307
1102	24	-0.5328071017709632
1102	25	-0.6193035974980461
1102	26	-0.17523532874488268
1102	27	-0.11254834832895
1102	28	-0.44744584315442637
1102	29	0.0338306376972497
1102	30	-0.03230239608627983
1102	31	-0.42003173896441126
1102	32	-0.6038890755702582
1102	33	-0.19159031456197084
1102	34	-0.3292136018850087
1102	35	-0.3755551650935445
1102	36	-0.08764096253746345
1102	37	-0.608781356690649
1102	38	-0.16079574864235013
1102	39	-0.16359395918188113
1102	40	-0.5126337725139507
1102	41	-0.33346737261383197
1102	42	-0.7486159578274396
1102	43	-0.8637642485533874
1102	44	-1.0000253591162362
1102	45	-0.0816135238820408
1102	46	-0.288283241829113
1102	47	-0.336239343122152
1102	48	-0.23267737720585302
1102	49	-0.005615303585415177
1102	50	-0.081323530424811
1103	1	0.009448209298959398
1103	2	0.16547395466562875
1103	3	0.09408850549804981
1103	4	0.08607490186780353
1103	5	-0.004476285646155986
1103	6	-0.026020422213306915
1103	7	0.053907570158557405
1103	8	0.005126269138877149
1103	9	-0.054141563134493254
1103	10	0.001311459750510835
1103	11	0.1883448837245112
1103	12	0.038472896250823396
1103	13	0.15896514765870506
1103	14	0.267442376844933
1103	15	0.10079228067814228
1103	16	0.14590477042904837
1103	17	0.2290156516448576
1103	18	0.15256495274601178
1103	19	0.08231975693393423
1103	20	0.03870922785687014
